millis, accelx, accely, accelz, v_x, v_y, v_z, p_x, p_y, p_z
0.036, 6.1035156E-4, -0.0058489144, 0.026284218, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0017822385, -0.0022600442, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0018066466, 0.001926966, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0036010742, 0.0067121238, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0018066466, 0.005515836, 0.023293495, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0071899295, 0.008506559, 0.022695541, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.004199207, 0.0073102713, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0012084842, 0.0025251135, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, 0.0012084842, 0.0031232536, 0.037649155, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0036010742, 0.0025251135, 0.0436306, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.0047973692, 0.0025251135, 0.043032646, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.0030029118, -4.6560913E-4, 0.0370512, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.0024047792, -0.0022600442, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, -0.0011840761, -0.0040544793, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -5.8594346E-4, -0.0064470544, 0.03406048, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, -0.010035925, 0.040639877, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.0064470544, 0.044228554, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.0022600442, 0.0370512, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -5.8594346E-4, -0.0022600442, 0.03286457, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0024047792, 0.0031232536, 0.032265663, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, -0.0011840761, 0.001328826, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.032, 0.0018066466, 0.003721401, 0.02508831, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, 0.0031232536, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, 1.3253093E-4, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -5.8594346E-4, -4.6560913E-4, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0011840761, -0.0022600442, 0.044228554, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, -0.004772961, 0.001926966, 0.04602337, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.032, -0.005969256, 0.0025251135, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.005969256, 0.001926966, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
